HORA (UTC);PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);Unnamed: 19;municipio;estado;ano;mes;dia
10:00;0.0;993.5;993.5;992.4;882.0;24.7;23.0;24.7;24.3;23.0;22.6;92;90;90;13;3.5;2.0;;Cuiaba;MT;2004;1;1
19:00;6.6;979.4;994.0;979.4;2115.0;24.4;23.2;28.5;24.3;23.3;22.7;93;71;93;262;8.3;3.0;;Cuiaba;MT;2004;1;1
20:00;2.4;980.3;980.3;977.9;3971.0;25.6;23.4;25.7;24.4;23.9;23.0;93;88;88;1;5.2;2.2;;Cuiaba;MT;2004;1;1
22:00;0.0;986.1;986.1;983.4;1976.0;25.7;23.4;25.7;25.1;23.6;23.1;90;86;87;136;2.2;1.3;;Cuiaba;MT;2004;1;1
23:00;0.0;986.7;986.7;986.1;14.0;25.2;22.9;25.7;25.2;23.5;22.6;88;85;87;138;4.6;1.2;;Cuiaba;MT;2004;1;1
10:00;0.0;992.0;992.0;991.1;734.0;24.2;22.6;24.2;23.9;22.7;22.4;92;91;91;353;4.6;0.9;;Cuiaba;MT;2004;1;2
23:00;0.0;985.9;991.7;985.9;65.0;26.3;24.6;27.7;26.2;24.8;24.3;91;83;91;357;1.9;1.1;;Cuiaba;MT;2004;1;2
10:00;0.0;990.8;990.8;989.7;885.0;23.9;22.6;23.9;23.4;22.6;22.2;93;93;93;308;1.5;0.8;;Cuiaba;MT;2004;1;3
22:00;0.0;979.6;986.1;979.6;3020.0;29.2;23.0;31.0;29.2;23.2;22.2;70;62;69;246;4.0;1.9;;Cuiaba;MT;2004;1;3
23:00;0.0;976.2;979.6;976.2;142.0;27.8;23.6;29.3;27.8;23.6;22.3;78;66;78;236;2.5;1.6;;Cuiaba;MT;2004;1;3
10:00;0.0;989.2;989.2;988.1;575.0;26.0;22.4;26.0;25.8;22.5;22.3;81;80;81;27;5.2;2.5;;Cuiaba;MT;2004;1;4
22:00;0.0;979.2;984.4;979.2;1221.0;28.9;22.7;30.3;28.9;22.8;22.2;69;63;69;13;8.8;2.8;;Cuiaba;MT;2004;1;4
23:00;0.0;978.8;979.4;978.8;1.0;27.8;22.9;28.9;27.8;22.9;22.5;74;69;74;1;8.8;3.8;;Cuiaba;MT;2004;1;4
10:00;0.0;989.8;989.8;989.1;929.0;25.8;22.1;25.8;25.4;22.1;21.9;82;80;80;3;6.4;3.5;;Cuiaba;MT;2004;1;5
22:00;0.0;981.3;986.3;981.3;2380.0;31.7;22.2;32.4;31.7;22.2;21.2;57;52;57;330;4.9;2.4;;Cuiaba;MT;2004;1;5
23:00;0.0;978.6;981.5;978.6;29.0;29.5;23.1;31.7;29.5;23.1;22.2;69;57;69;277;4.7;1.3;;Cuiaba;MT;2004;1;5
