ano,mes,estacao,chuva,codigo_estacao,municipio,uf
1991,1,51002,14.34909090909091,51002,mazagao,AP
1991,1,8050000,12.735483870967743,8050000,macapa,AP
1991,1,8051010,9.626666666666667,8051010,macapa,AP
1991,1,8052000,8.948387096774193,8052000,serra do navio,AP
1991,1,8150000,15.245161290322581,8150000,tartarugalzinho,AP
1991,1,8251001,34.377419354838715,8251001,calcoene,AP
1991,2,51002,33.14782608695652,51002,mazagao,AP
1991,2,8050000,8.4,8050000,macapa,AP
1991,2,8051010,13.207142857142857,8051010,macapa,AP
1991,2,8052000,11.292857142857143,8052000,serra do navio,AP
1991,2,8150000,13.346428571428572,8150000,tartarugalzinho,AP
1991,2,8251001,31.014285714285712,8251001,calcoene,AP
1991,3,51002,16.823809523809523,51002,mazagao,AP
1991,3,8050000,9.941935483870967,8050000,macapa,AP
1991,3,8051010,8.59032258064516,8051010,macapa,AP
1991,3,8052000,12.44516129032258,8052000,serra do navio,AP
1991,3,8150000,11.654838709677419,8150000,tartarugalzinho,AP
1991,3,8251001,38.354838709677416,8251001,calcoene,AP
1991,4,51002,14.221052631578948,51002,mazagao,AP
1991,4,8050000,8.623333333333333,8050000,macapa,AP
1991,4,8051010,8.264285714285714,8051010,macapa,AP
1991,4,8052000,7.053333333333333,8052000,serra do navio,AP
1991,4,8150000,11.283333333333333,8150000,tartarugalzinho,AP
1991,4,8251001,14.9,8251001,calcoene,AP
1991,5,51002,4.714814814814814,51002,mazagao,AP
1991,5,8050000,8.72258064516129,8050000,macapa,AP
1991,5,8051010,9.33548387096774,8051010,macapa,AP
1991,5,8052000,15.593548387096773,8052000,serra do navio,AP
1991,5,8150000,14.558064516129033,8150000,tartarugalzinho,AP
1991,5,8251001,,8251001,calcoene,AP
1991,6,51002,17.041666666666668,51002,mazagao,AP
1991,6,8050000,2.547169811320755,8050000,macapa,AP
1991,6,8051010,8.706666666666667,8051010,macapa,AP
1991,6,8052000,10.686666666666667,8052000,serra do navio,AP
1991,6,8150000,10.413333333333332,8150000,tartarugalzinho,AP
1991,6,8251001,,8251001,calcoene,AP
1991,7,51002,,51002,mazagao,AP
1991,7,8050000,2.9,8050000,macapa,AP
1991,7,8051010,4.767741935483872,8051010,macapa,AP
1991,7,8052000,7.354838709677419,8052000,serra do navio,AP
1991,7,8150000,5.611290322580645,8150000,tartarugalzinho,AP
1991,7,8251001,28.015000000000004,8251001,calcoene,AP
1991,8,51002,,51002,mazagao,AP
1991,8,8050000,5.687096774193549,8050000,macapa,AP
1991,8,8051010,1.967741935483871,8051010,macapa,AP
1991,8,8052000,3.832258064516129,8052000,serra do navio,AP
1991,8,8150000,1.6419354838709677,8150000,tartarugalzinho,AP
1991,8,8251001,18.083870967741937,8251001,calcoene,AP
1991,9,51002,,51002,mazagao,AP
1991,9,8050000,0.45,8050000,macapa,AP
1991,9,8051010,0.1,8051010,macapa,AP
1991,9,8052000,1.0,8052000,serra do navio,AP
1991,9,8150000,0.08333333333333333,8150000,tartarugalzinho,AP
1991,9,8251001,0.5933333333333334,8251001,calcoene,AP
1991,10,51002,,51002,mazagao,AP
1991,10,8050000,0.16451612903225804,8050000,macapa,AP
1991,10,8051010,0.0,8051010,macapa,AP
1991,10,8052000,1.7483870967741937,8052000,serra do navio,AP
1991,10,8150000,0.0,8150000,tartarugalzinho,AP
1991,10,8251001,3.835483870967742,8251001,calcoene,AP
1991,11,51002,1.5999999999999999,51002,mazagao,AP
1991,11,8050000,,8050000,macapa,AP
1991,11,8051010,0.0,8051010,macapa,AP
1991,11,8052000,0.15,8052000,serra do navio,AP
1991,11,8150000,0.06666666666666667,8150000,tartarugalzinho,AP
1991,11,8251001,0.58,8251001,calcoene,AP
1991,12,51002,0.0,51002,mazagao,AP
1991,12,8050000,0.8419354838709678,8050000,macapa,AP
1991,12,8051010,1.8258064516129033,8051010,macapa,AP
1991,12,8052000,4.34516129032258,8052000,serra do navio,AP
1991,12,8150000,1.932258064516129,8150000,tartarugalzinho,AP
1991,12,8251001,1.038709677419355,8251001,calcoene,AP
1992,1,51002,1.009090909090909,51002,mazagao,AP
1992,1,8050000,3.561290322580645,8050000,macapa,AP
1992,1,8051010,3.2548387096774194,8051010,macapa,AP
1992,1,8051012,,8051012,porto grande,AP
1992,1,8052000,3.5870967741935487,8052000,serra do navio,AP
1992,1,8150000,3.9096774193548387,8150000,tartarugalzinho,AP
1992,1,8251001,11.44,8251001,calcoene,AP
1992,2,51002,10.579310344827586,51002,mazagao,AP
1992,2,8050000,11.50357142857143,8050000,macapa,AP
1992,2,8051010,12.351724137931035,8051010,macapa,AP
1992,2,8051012,,8051012,porto grande,AP
1992,2,8052000,9.979310344827585,8052000,serra do navio,AP
1992,2,8150000,18.06206896551724,8150000,tartarugalzinho,AP
1992,2,8251001,6.714285714285714,8251001,calcoene,AP
1992,3,51002,5.877419354838709,51002,mazagao,AP
1992,3,8050000,6.435483870967742,8050000,macapa,AP
1992,3,8051010,14.790322580645162,8051010,macapa,AP
1992,3,8051012,12.865,8051012,porto grande,AP
1992,3,8052000,10.1,8052000,serra do navio,AP
1992,3,8150000,15.454838709677418,8150000,tartarugalzinho,AP
1992,3,8251001,7.870967741935484,8251001,calcoene,AP
1992,4,51002,8.816666666666666,51002,mazagao,AP
1992,4,8050000,7.206666666666666,8050000,macapa,AP
1992,4,8051010,13.051724137931034,8051010,macapa,AP
1992,4,8051012,11.676666666666668,8051012,porto grande,AP
1992,4,8052000,12.469999999999999,8052000,serra do navio,AP
1992,4,8150000,10.603333333333333,8150000,tartarugalzinho,AP
1992,4,8251001,8.266666666666667,8251001,calcoene,AP
1992,5,51002,7.233333333333333,51002,mazagao,AP
1992,5,8050000,1.6451612903225807,8050000,macapa,AP
1992,5,8051010,2.4099999999999997,8051010,macapa,AP
1992,5,8051012,4.851612903225806,8051012,porto grande,AP
1992,5,8052000,4.064516129032258,8052000,serra do navio,AP
1992,5,8150000,1.6258064516129032,8150000,tartarugalzinho,AP
1992,5,8251001,,8251001,calcoene,AP
1992,6,51002,5.793333333333334,51002,mazagao,AP
1992,6,8050000,0.9299999999999999,8050000,macapa,AP
1992,6,8051010,3.279310344827586,8051010,macapa,AP
1992,6,8051012,5.576666666666667,8051012,porto grande,AP
1992,6,8052000,4.846666666666667,8052000,serra do navio,AP
1992,6,8150000,3.3433333333333333,8150000,tartarugalzinho,AP
1992,6,8251001,6.2375,8251001,calcoene,AP
1992,7,51002,5.745161290322581,51002,mazagao,AP
1992,7,8050000,0.47096774193548385,8050000,macapa,AP
1992,7,8051010,4.425806451612903,8051010,macapa,AP
1992,7,8051012,7.787096774193548,8051012,porto grande,AP
1992,7,8052000,3.106451612903226,8052000,serra do navio,AP
1992,7,8150000,3.4387096774193546,8150000,tartarugalzinho,AP
1992,7,8251001,2.6258064516129034,8251001,calcoene,AP
1992,8,51002,3.1,51002,mazagao,AP
1992,8,8050000,1.464516129032258,8050000,macapa,AP
1992,8,8051010,1.435483870967742,8051010,macapa,AP
1992,8,8051012,4.639130434782609,8051012,porto grande,AP
1992,8,8052000,4.209677419354839,8052000,serra do navio,AP
1992,8,8150000,3.4645161290322584,8150000,tartarugalzinho,AP
1992,8,8251001,2.7096774193548385,8251001,calcoene,AP
1992,9,51002,1.1166666666666667,51002,mazagao,AP
1992,9,8050000,0.04,8050000,macapa,AP
1992,9,8051010,0.0,8051010,macapa,AP
1992,9,8051012,2.7333333333333334,8051012,porto grande,AP
1992,9,8052000,3.103333333333333,8052000,serra do navio,AP
1992,9,8150000,0.19666666666666668,8150000,tartarugalzinho,AP
1992,9,8251001,0.6300000000000001,8251001,calcoene,AP
1992,10,51002,0.0,51002,mazagao,AP
1992,10,8050000,0.0,8050000,macapa,AP
1992,10,8051010,0.0,8051010,macapa,AP
1992,10,8051012,3.858064516129032,8051012,porto grande,AP
1992,10,8052000,0.42903225806451617,8052000,serra do navio,AP
1992,10,8150000,0.016129032258064516,8150000,tartarugalzinho,AP
1992,10,8251001,1.7483870967741937,8251001,calcoene,AP
1992,11,51002,2.89,51002,mazagao,AP
1992,11,8050000,0.7466666666666666,8050000,macapa,AP
1992,11,8051010,0.6833333333333333,8051010,macapa,AP
1992,11,8051012,1.8166666666666667,8051012,porto grande,AP
1992,11,8052000,2.0966666666666667,8052000,serra do navio,AP
1992,11,8150000,0.7266666666666667,8150000,tartarugalzinho,AP
1992,11,8251001,2.23,8251001,calcoene,AP
1992,12,51002,1.1354838709677417,51002,mazagao,AP
1992,12,8050000,1.0357142857142858,8050000,macapa,AP
1992,12,8051010,1.474193548387097,8051010,macapa,AP
1992,12,8051012,5.315789473684211,8051012,porto grande,AP
1992,12,8052000,2.8193548387096774,8052000,serra do navio,AP
1992,12,8150000,2.8870967741935485,8150000,tartarugalzinho,AP
1992,12,8251001,7.283870967741936,8251001,calcoene,AP
1993,1,51002,7.9772727272727275,51002,mazagao,AP
1993,1,8050000,4.051612903225807,8050000,macapa,AP
1993,1,8051010,6.312903225806452,8051010,macapa,AP
1993,1,8051012,7.495833333333334,8051012,porto grande,AP
1993,1,8052000,8.847999999999999,8052000,serra do navio,AP
1993,1,8150000,7.096774193548387,8150000,tartarugalzinho,AP
1993,1,8250002,,8250002,calcoene,AP
1993,1,8250003,,8250003,amapa,AP
1993,1,8251001,3.1322580645161286,8251001,calcoene,AP
1993,2,51002,9.110714285714286,51002,mazagao,AP
1993,2,8050000,3.7178571428571425,8050000,macapa,AP
1993,2,8051010,12.996296296296295,8051010,macapa,AP
1993,2,8051012,8.253571428571428,8051012,porto grande,AP
1993,2,8052000,9.716000000000001,8052000,serra do navio,AP
1993,2,8150000,7.325,8150000,tartarugalzinho,AP
1993,2,8250002,,8250002,calcoene,AP
1993,2,8250003,,8250003,amapa,AP
1993,2,8251001,4.475,8251001,calcoene,AP
1993,3,51002,13.889999999999999,51002,mazagao,AP
1993,3,8050000,4.787096774193548,8050000,macapa,AP
1993,3,8051010,14.113333333333335,8051010,macapa,AP
1993,3,8051012,6.038095238095238,8051012,porto grande,AP
1993,3,8052000,15.381818181818181,8052000,serra do navio,AP
1993,3,8150000,13.383870967741935,8150000,tartarugalzinho,AP
1993,3,8250002,33.977777777777774,8250002,calcoene,AP
1993,3,8250003,24.807142857142857,8250003,amapa,AP
1993,3,8251001,7.496774193548387,8251001,calcoene,AP
1993,4,51002,13.796296296296296,51002,mazagao,AP
1993,4,8050000,11.446428571428571,8050000,macapa,AP
1993,4,8051010,11.243333333333334,8051010,macapa,AP
1993,4,8051012,10.496296296296295,8051012,porto grande,AP
1993,4,8052000,21.7,8052000,serra do navio,AP
1993,4,8150000,16.51,8150000,tartarugalzinho,AP
1993,4,8250002,23.19333333333333,8250002,calcoene,AP
1993,4,8250003,32.92631578947368,8250003,amapa,AP
1993,4,8251001,6.653333333333333,8251001,calcoene,AP
1993,5,51002,7.290322580645161,51002,mazagao,AP
1993,5,8050000,1.8451612903225807,8050000,macapa,AP
1993,5,8051010,7.196774193548387,8051010,macapa,AP
1993,5,8051012,5.321428571428571,8051012,porto grande,AP
1993,5,8052000,10.511111111111113,8052000,serra do navio,AP
1993,5,8150000,5.658064516129032,8150000,tartarugalzinho,AP
1993,5,8250002,16.558064516129033,8250002,calcoene,AP
1993,5,8250003,9.493548387096775,8250003,amapa,AP
1993,5,8251001,5.238709677419355,8251001,calcoene,AP
1993,6,51002,11.120000000000001,51002,mazagao,AP
1993,6,8050000,1.15,8050000,macapa,AP
1993,6,8051010,4.453333333333333,8051010,macapa,AP
1993,6,8051012,5.5360000000000005,8051012,porto grande,AP
1993,6,8052000,5.726086956521739,8052000,serra do navio,AP
1993,6,8150000,4.85,8150000,tartarugalzinho,AP
1993,6,8250002,9.683333333333334,8250002,calcoene,AP
1993,6,8250003,6.125,8250003,amapa,AP
1993,6,8251001,4.17,8251001,calcoene,AP
1993,7,51002,8.812903225806451,51002,mazagao,AP
1993,7,8050000,1.2000000000000002,8050000,macapa,AP
1993,7,8051010,2.3225806451612905,8051010,macapa,AP
